date,Bitcoin,Bitcoin Cash,Dash,Ethereum,Ethereum Classic,IOTA,Litecoin,NEM,Ripple
"Jan 01, 2017",15491200000,,78350600,698149000,123453000,,212691000,33087800,237032000
"Jan 02, 2017",16055100000,,78789700,714900000,122159000,,222154000,31006400,232067000
"Jan 03, 2017",16426600000,,82603400,732988000,125771000,,228878000,30396000,228578000
"Jan 04, 2017",16795400000,,89664000,850115000,130536000,,227855000,32151100,232030000
"Jan 05, 2017",18604000000,,116187000,988599000,154605000,,241730000,34123700,238808000
"Jan 06, 2017",16314100000,,101082000,901249000,142529000,,211689000,32693700,225184000
"Jan 07, 2017",14534400000,,83814000,897636000,132231000,,190143000,29854700,230770000
"Jan 08, 2017",14611400000,,87104800,865667000,126377000,,194906000,31574500,231946000
"Jan 09, 2017",14694900000,,88154300,904682000,127367000,,196828000,30815200,226700000
"Jan 10, 2017",14522600000,,84366800,909897000,123839000,,211857000,32458000,223720000
"Jan 11, 2017",14615700000,,87501500,925320000,125722000,,226517000,32406900,243761000
"Jan 12, 2017",12477600000,,79295200,853638000,103032000,,189108000,29643500,233170000
"Jan 13, 2017",12939100000,,85789600,863241000,106440000,,194684000,31385200,236592000
"Jan 14, 2017",13285200000,,88482900,859971000,106020000,,191987000,32410500,243056000
"Jan 15, 2017",13174300000,,84869100,864037000,105800000,,191859000,33470900,252519000
"Jan 16, 2017",13234600000,,86960200,869126000,104251000,,193560000,33006100,248106000
"Jan 17, 2017",13383900000,,90828600,847981000,103624000,,192814000,33025300,249018000
"Jan 18, 2017",14648900000,,100228000,906079000,106445000,,194678000,31752200,249667000
"Jan 19, 2017",14311700000,,99371100,901484000,105903000,,189782000,31962200,246854000
"Jan 20, 2017",14472100000,,106564000,914696000,103069000,,190693000,32249200,259186000
"Jan 21, 2017",14432000000,,106916000,933405000,118279000,,192408000,31909200,246709000
"Jan 22, 2017",14863600000,,105622000,961463000,124520000,,192953000,33176600,247165000
"Jan 23, 2017",14918800000,,106549000,944159000,122297000,,190717000,33289600,247604000
"Jan 24, 2017",14681400000,,106493000,946083000,122697000,,189741000,33236100,247242000
"Jan 25, 2017",14380700000,,99366700,936769000,119962000,,187625000,35127500,240565000
"Jan 26, 2017",14551200000,,102158000,932575000,113854000,,183873000,40937400,239951000
"Jan 27, 2017",14810400000,,106228000,934404000,117575000,,190149000,46780000,246404000
"Jan 28, 2017",14835800000,,108155000,930688000,113059000,,190872000,44998100,236216000
"Jan 29, 2017",14874000000,,107705000,933087000,115225000,,190873000,43394900,234254000
"Jan 30, 2017",14844900000,,109407000,927415000,114748000,,191115000,46560200,235961000
"Jan 31, 2017",14859700000,,112498000,933975000,119181000,,199116000,47246900,235508000
"Feb 01, 2017",15667900000,,113338000,949969000,120212000,,202128000,47197000,232609000
"Feb 02, 2017",15977800000,,112934000,949793000,119811000,,202147000,49383300,241026000
"Feb 03, 2017",16326100000,,115306000,956944000,120305000,,202531000,56648900,238302000
"Feb 04, 2017",16648800000,,124173000,985277000,120607000,,202727000,62546400,239094000
"Feb 05, 2017",16847400000,,124154000,1013400000,123124000,,201824000,64686200,239337000
"Feb 06, 2017",16605400000,,120894000,1005930000,123057000,,201525000,57508500,237318000
"Feb 07, 2017",16796600000,,121211000,1012620000,130982000,,201352000,54395600,237240000
"Feb 08, 2017",17156700000,,121430000,1023170000,130979000,,201226000,63324500,236123000
"Feb 09, 2017",17197100000,,122937000,1014280000,129031000,,200288000,60055100,237091000
"Feb 10, 2017",16083600000,,117570000,979961000,113045000,,188981000,56768200,235873000
"Feb 11, 2017",15976700000,,118350000,1002130000,111538000,,187849000,57016000,232996000
"Feb 12, 2017",16214700000,,121667000,1008030000,109633000,,188829000,62782200,234436000
"Feb 13, 2017",16141500000,,119800000,1011080000,108925000,,187506000,62188800,232161000
"Feb 14, 2017",16028000000,,119626000,1002810000,106179000,,184921000,59411200,231161000
"Feb 15, 2017",16264100000,,128554000,1159000000,110928000,,187657000,60562400,232611000
"Feb 16, 2017",16289100000,,139499000,1148860000,112162000,,189087000,63727000,227363000
"Feb 17, 2017",16589600000,,138366000,1147260000,109732000,,188226000,63265100,220014000
"Feb 18, 2017",16964800000,,142505000,1130750000,109624000,,190755000,64155300,220370000
"Feb 19, 2017",17056600000,,152571000,1140870000,108590000,,189049000,61765100,207033000
"Feb 20, 2017",16960200000,,160743000,1136610000,108897000,,187912000,57480300,217802000
"Feb 21, 2017",17456900000,,153668000,1099330000,108797000,,187718000,58872000,217476000
"Feb 22, 2017",18033400000,,151098000,1130460000,110732000,,188961000,56762200,216670000
"Feb 23, 2017",18075200000,,157238000,1122910000,108040000,,189631000,57403100,216920000
"Feb 24, 2017",18974400000,,178372000,1171110000,109710000,,191226000,61891200,218525000
"Feb 25, 2017",18939500000,,186832000,1165230000,107563000,,192344000,58994400,211712000
"Feb 26, 2017",18518900000,,189992000,1206150000,108135000,,190585000,57097300,210392000
"Feb 27, 2017",18837300000,,200212000,1294770000,111240000,,190522000,58115300,210425000
"Feb 28, 2017",19113600000,,201326000,1379600000,110317000,,190098000,57693900,208297000
"Mar 01, 2017",19104800000,,232593000,1415510000,110412000,,188623000,63121000,205222000
"Mar 02, 2017",19829800000,,302911000,1550750000,124927000,,189785000,70867600,201301000
"Mar 03, 2017",20253700000,,314220000,1702140000,122017000,,196144000,79174900,224009000
"Mar 04, 2017",20688800000,,336628000,1745140000,128748000,,195730000,79956200,237670000
"Mar 05, 2017",20316000000,,307986000,1655030000,128238000,,193336000,86360400,235301000
"Mar 06, 2017",20531900000,,301783000,1725360000,125032000,,193846000,99597600,229280000
"Mar 07, 2017",20627100000,,332936000,1752530000,128228000,,194991000,98602200,226570000
"Mar 08, 2017",19819800000,,325712000,1690760000,122982000,,190712000,98702100,245051000
"Mar 09, 2017",18640900000,,302128000,1490500000,115319000,,188704000,83721800,242570000
"Mar 10, 2017",19275300000,,365561000,1589640000,118799000,,191858000,81923800,242488000
"Mar 11, 2017",18093700000,,360708000,1736630000,116335000,,188428000,81563800,232266000
"Mar 12, 2017",19073300000,,520543000,1924660000,124142000,,189874000,88559500,231721000
"Mar 13, 2017",19807700000,,551120000,2108300000,127735000,,192979000,89178800,233853000
"Mar 14, 2017",19978200000,,534395000,2563700000,148130000,,209412000,98498700,236634000
"Mar 15, 2017",20110400000,,638133000,2571160000,148644000,,203099000,104547000,237552000
"Mar 16, 2017",20293700000,,683888000,3174750000,162466000,,208204000,101410000,235622000
"Mar 17, 2017",19141800000,,642049000,4125480000,187614000,,212582000,99976500,239193000
"Mar 18, 2017",17838700000,,724518000,4211830000,171119000,,202967000,103870000,229142000
"Mar 19, 2017",15846000000,,771412000,3193600000,153490000,,198801000,107514000,251511000
"Mar 20, 2017",16829800000,,776036000,4031270000,173892000,,198555000,146475000,258208000
"Mar 21, 2017",17125600000,,717014000,3913620000,175087000,,202923000,129631000,261234000
"Mar 22, 2017",18187100000,,686887000,3880120000,218160000,,200521000,142286000,257915000
"Mar 23, 2017",17043400000,,727130000,3831310000,215468000,,197783000,146839000,271965000
"Mar 24, 2017",16857000000,,729578000,3929230000,206033000,,199924000,134264000,393620000
"Mar 25, 2017",15204800000,,696738000,4825700000,218022000,,205034000,125381000,392674000
"Mar 26, 2017",15814800000,,677736000,4574540000,205706000,,204723000,114201000,342448000
"Mar 27, 2017",15785000000,,673078000,4624990000,212515000,,204793000,122383000,354514000
"Mar 28, 2017",16964500000,,606012000,4482160000,192717000,,205012000,119969000,357724000
"Mar 29, 2017",16990900000,,631616000,4561150000,204442000,,208728000,122347000,356171000
"Mar 30, 2017",16929800000,,607325000,4793280000,209841000,,210627000,134032000,378563000
"Mar 31, 2017",16679000000,,572175000,4671190000,252768000,,353860000,125699000,487885000
"Apr 01, 2017",17413000000,,534806000,4517510000,254292000,,335526000,134287000,812963000
"Apr 02, 2017",17559400000,,491501000,4582700000,248588000,,346209000,157994000,820232000
"Apr 03, 2017",17924600000,,408589000,4411030000,239440000,,390802000,145174000,2261800000
"Apr 04, 2017",18619000000,,456882000,3969730000,235018000,,409793000,179777000,1239170000
"Apr 05, 2017",18435700000,,498097000,4037940000,241974000,,416432000,164592000,1402530000
"Apr 06, 2017",18302600000,,537046000,4089930000,248631000,,561808000,157325000,1338210000
"Apr 07, 2017",19168500000,,479637000,3878210000,241422000,,516533000,149323000,1228290000
"Apr 08, 2017",19068600000,,476916000,3783000000,244756000,,471828000,151344000,1363900000
"Apr 09, 2017",19134400000,,489452000,4009010000,245821000,,499887000,166109000,1343050000
"Apr 10, 2017",19311200000,,467460000,3919520000,239316000,,440977000,183982000,1280150000
"Apr 11, 2017",19316000000,,442808000,3941100000,235280000,,450735000,186548000,1263420000
"Apr 12, 2017",19600800000,,438679000,3938930000,229734000,,446780000,177420000,1238110000
"Apr 13, 2017",19541300000,,492196000,4198420000,237470000,,544751000,187240000,1292790000
"Apr 14, 2017",19043800000,,524892000,4531810000,238045000,,512838000,190834000,1285920000
"Apr 15, 2017",18996500000,,512034000,4323100000,239360000,,523678000,197651000,1258400000
"Apr 16, 2017",19085100000,,542961000,4450140000,242861000,,544263000,220588000,1271610000
"Apr 17, 2017",19260500000,,544956000,4417310000,238216000,,536824000,217653000,1253560000
"Apr 18, 2017",19433800000,,547341000,4387860000,237684000,,528060000,235395000,1262530000
"Apr 19, 2017",19734800000,,526688000,4608260000,261650000,,522923000,255586000,1245350000
"Apr 20, 2017",19719900000,,522642000,4373800000,286485000,,488681000,292522000,1135700000
"Apr 21, 2017",20020700000,,517733000,4512610000,297930000,,522165000,254881000,1126210000
"Apr 22, 2017",19913900000,,513274000,4381290000,289096000,,567234000,295305000,1254840000
"Apr 23, 2017",20066200000,,515838000,4420040000,293703000,,663271000,288788000,1207680000
"Apr 24, 2017",19705400000,,499641000,4446470000,324863000,,709098000,282409000,1183370000
"Apr 25, 2017",20372300000,,523445000,4557870000,368833000,,760872000,309660000,1189920000
"Apr 26, 2017",20627900000,,522517000,4544370000,361613000,,772651000,336824000,1227080000
"Apr 27, 2017",20889200000,,518868000,4809630000,418466000,,754472000,449886000,1243640000
"Apr 28, 2017",21476000000,,566202000,5669550000,450848000,,741933000,422347000,1320040000
"Apr 29, 2017",21479800000,,578278000,6506490000,444253000,,732129000,436629000,1688070000
"Apr 30, 2017",21548400000,,684050000,6248840000,496272000,,798743000,431966000,2000600000
"May 01, 2017",21981800000,,664545000,7234070000,591840000,,799215000,461377000,1954090000
"May 02, 2017",23170200000,,638649000,6992980000,632910000,,810373000,474830000,2070240000
"May 03, 2017",23707100000,,626662000,7050050000,597190000,,808247000,465385000,2042180000
"May 04, 2017",24311900000,,655081000,7277480000,609121000,,1071840000,479835000,2313340000
"May 05, 2017",25133100000,,675223000,8833520000,701217000,,1195810000,570733000,3045130000
"May 06, 2017",25395600000,,721874000,8669910000,689342000,,1348870000,654404000,3546160000
"May 07, 2017",25768500000,,724648000,8942950000,666100000,,1437700000,660039000,3868770000
"May 08, 2017",26056500000,,775962000,8569060000,650286000,,1548860000,894815000,5375270000
"May 09, 2017",28132200000,,736626000,8341490000,609381000,,1477510000,1121340000,7560680000
"May 10, 2017",28668100000,,676854000,8337180000,587732000,,1699070000,1044170000,6014860000
"May 11, 2017",29060600000,,667796000,8213570000,605901000,,1666830000,1001430000,7023110000
