tickdate,symbol,value
"Jan 01, 2017",Bitcoin,15491200000
"Jan 02, 2017",Bitcoin,16055100000
"Jan 03, 2017",Bitcoin,16426600000
"Jan 04, 2017",Bitcoin,16795400000
"Jan 05, 2017",Bitcoin,18604000000
"Jan 06, 2017",Bitcoin,16314100000
"Jan 07, 2017",Bitcoin,14534400000
"Jan 08, 2017",Bitcoin,14611400000
"Jan 09, 2017",Bitcoin,14694900000
"Jan 10, 2017",Bitcoin,14522600000
"Jan 11, 2017",Bitcoin,14615700000
"Jan 12, 2017",Bitcoin,12477600000
"Jan 13, 2017",Bitcoin,12939100000
"Jan 14, 2017",Bitcoin,13285200000
"Jan 15, 2017",Bitcoin,13174300000
"Jan 16, 2017",Bitcoin,13234600000
"Jan 17, 2017",Bitcoin,13383900000
"Jan 18, 2017",Bitcoin,14648900000
"Jan 19, 2017",Bitcoin,14311700000
"Jan 20, 2017",Bitcoin,14472100000
"Jan 21, 2017",Bitcoin,14432000000
"Jan 22, 2017",Bitcoin,14863600000
"Jan 23, 2017",Bitcoin,14918800000
"Jan 24, 2017",Bitcoin,14681400000
"Jan 25, 2017",Bitcoin,14380700000
"Jan 26, 2017",Bitcoin,14551200000
"Jan 27, 2017",Bitcoin,14810400000
"Jan 28, 2017",Bitcoin,14835800000
"Jan 29, 2017",Bitcoin,14874000000
"Jan 30, 2017",Bitcoin,14844900000
"Jan 31, 2017",Bitcoin,14859700000
"Feb 01, 2017",Bitcoin,15667900000
"Feb 02, 2017",Bitcoin,15977800000
"Feb 03, 2017",Bitcoin,16326100000
"Feb 04, 2017",Bitcoin,16648800000
"Feb 05, 2017",Bitcoin,16847400000
"Feb 06, 2017",Bitcoin,16605400000
"Feb 07, 2017",Bitcoin,16796600000
"Feb 08, 2017",Bitcoin,17156700000
"Feb 09, 2017",Bitcoin,17197100000
"Feb 10, 2017",Bitcoin,16083600000
"Feb 11, 2017",Bitcoin,15976700000
"Feb 12, 2017",Bitcoin,16214700000
"Feb 13, 2017",Bitcoin,16141500000
"Feb 14, 2017",Bitcoin,16028000000
"Feb 15, 2017",Bitcoin,16264100000
"Feb 16, 2017",Bitcoin,16289100000
"Feb 17, 2017",Bitcoin,16589600000
"Feb 18, 2017",Bitcoin,16964800000
"Feb 19, 2017",Bitcoin,17056600000
"Feb 20, 2017",Bitcoin,16960200000
"Feb 21, 2017",Bitcoin,17456900000
"Feb 22, 2017",Bitcoin,18033400000
"Feb 23, 2017",Bitcoin,18075200000
"Feb 24, 2017",Bitcoin,18974400000
"Feb 25, 2017",Bitcoin,18939500000
"Feb 26, 2017",Bitcoin,18518900000
"Feb 27, 2017",Bitcoin,18837300000
"Feb 28, 2017",Bitcoin,19113600000
"Mar 01, 2017",Bitcoin,19104800000
"Mar 02, 2017",Bitcoin,19829800000
"Mar 03, 2017",Bitcoin,20253700000
"Mar 04, 2017",Bitcoin,20688800000
"Mar 05, 2017",Bitcoin,20316000000
"Mar 06, 2017",Bitcoin,20531900000
"Mar 07, 2017",Bitcoin,20627100000
